age,education_level,years_experience,skills_count,skills_match_ratio,previous_companies,salary_expectation,salary_fit,location_match,remote_compatibility,availability_urgency_ratio,experience_level_numeric,education_numeric,match_score,match_label,candidate_skills,required_skills,candidate_location,job_location,remote_work,remote_allowed,availability_days,urgency_days,salary_range_min,salary_range_max,required_experience
60,master,32,12,0.25,0,200184.2388512642,0.3,1.0,1.0,0.08620689655172414,2,3,0.635991065284309,poor_match,"adaptability,mongodb,problem solving,scikit-learn,redis,critical thinking,pandas,terraform,git,fastapi,machine learning,postgresql","fastapi,node.js,data science,aws",Belo Horizonte,Salvador,True,True,116,10,67555,102012,mid
36,high_school,8,8,0.5,1,74650.10745122851,1.0,1.0,1.0,0.8571428571428571,2,1,0.8329007530269316,good_match,"sql,java,react,node.js,machine learning,flask,mongodb,kubernetes","terraform,fastapi,redis,sql,node.js,java",Rio de Janeiro,São Paulo,True,True,119,102,60863,95037,mid
25,phd,0,6,0.0,0,88297.80786365834,0.3,1.0,1.0,1.0,1,4,0.5245389724787322,poor_match,"leadership,fastapi,react,critical thinking,aws,pandas","flask,postgresql,scikit-learn,node.js,terraform",Fortaleza,Rio de Janeiro,True,True,97,166,46666,75615,junior
32,bachelor,10,9,0.5,2,83733.9736613101,0.3,0.2,0.5,1.0,1,2,0.6845246323859366,good_match,"aws,teamwork,creativity,adaptability,django,fastapi,flask,docker,machine learning","flask,numpy,mongodb,django",Brasília,Curitiba,True,False,42,118,40539,65176,junior
46,master,20,7,0.4,4,131248.47672745222,0.3,0.2,0.5,1.0,1,3,0.6498090040721585,poor_match,"postgresql,communication,critical thinking,numpy,react,machine learning,flask","flask,java,data science,scikit-learn,machine learning",Recife,Manaus,True,False,48,64,45257,62073,junior
44,bachelor,20,6,0.0,1,126117.09161736717,0.3,0.2,0.5,1.0,1,2,0.45554993115090575,poor_match,"time management,postgresql,react,django,communication,mongodb","flask,java,redis,numpy",Fortaleza,Belo Horizonte,True,False,62,69,35635,64052,junior
40,bachelor,12,5,0.0,0,93373.7846882869,0.3,0.2,0.5,1.0,1,2,0.5181592825387232,poor_match,"sql,creativity,adaptability,scikit-learn,pandas","data science,node.js,postgresql",Porto Alegre,Belo Horizonte,True,False,16,167,36687,58520,junior
33,bachelor,11,8,0.0,3,106886.56247514002,0.3,1.0,1.0,1.0,2,2,0.6672231200905985,good_match,"numpy,node.js,python,redis,creativity,teamwork,problem solving,postgresql","java,docker,scikit-learn,machine learning,pandas",Porto Alegre,Porto Alegre,True,True,103,117,70011,102112,mid
37,bachelor,13,9,0.4,2,119145.6415049111,0.3,0.2,0.5,1.0,2,2,0.7117639847753192,good_match,"fastapi,postgresql,kubernetes,time management,aws,teamwork,node.js,django,python","python,git,fastapi,redis,flask",Recife,Fortaleza,True,False,8,137,66619,94735,mid
46,master,19,8,0.2857142857142857,0,128995.50569574432,0.3,1.0,1.0,1.0,2,3,0.6521830746397426,good_match,"adaptability,leadership,problem solving,docker,machine learning,scikit-learn,aws,time management","data science,django,postgresql,docker,machine learning,flask,redis",Recife,Brasília,True,True,92,124,67418,87542,mid
22,bachelor,0,5,0.6666666666666666,0,41221.233051466734,0.8,0.2,0.5,1.0,1,2,0.4163522834977785,poor_match,"machine learning,sql,pandas,kubernetes,critical thinking","postgresql,machine learning,sql",Belo Horizonte,Salvador,True,False,4,88,48051,69932,junior
